名次,昵称,组别,总分,最后提交时间
1,欢迎参加明年十月份中科大第十届信安大赛,校外选手,7699,2022-11-23 13:05:15
2,"taoky | #""我是小孤独""",校外选手,5594,2022-11-25 14:33:18
3,Ee,校外选手,4709,2022-11-26 10:59:47
4,wwx,北京大学,4668,2022-11-23 21:25:05
5,pkuGenuine,北京大学,4328,2022-11-25 23:36:12
6,std::_Rb_tree,校外选手,3903,2022-11-26 01:07:59
7,31415,北京大学,3885,2022-11-24 08:32:45
8,gzz,北京大学,3821,2022-11-25 23:49:42
9,VariantF | #5835,校外选手,3744,2022-11-25 23:11:49
10,Ginwiahzy,北京大学,3582,2022-11-25 13:30:09
11,zhn #尽力局,北京大学,3413,2022-11-26 00:50:58
12,Cinnabar #二泉映月.wav,北京大学,3409,2022-11-26 06:45:37
13,Testla,校外选手,3335,2022-11-26 05:32:16
14,Jahoo #记住你了,北京大学,3298,2022-11-24 23:34:59
15,王村bugless #躺,北京大学,3273,2022-11-26 07:24:36
16,lucifer1004,北京大学,3239,2022-11-25 21:59:34
17,nxp #这是一个tag,北京大学,3199,2022-11-25 21:29:03
18,wwzzj #怎么在名字后面打tag？,北京大学,3181,2022-11-25 22:11:07
19,kxxt,校外选手,3058,2022-11-25 19:28:31
20,WaterKing #好耶！,北京大学,3049,2022-11-25 11:05:26
21,DF4D0155 #关西暴走机关车单推中,北京大学,3049,2022-11-26 11:50:27
22,Leo_h #_#,北京大学,3021,2022-11-26 11:46:39
23,忧郁沙茶 #至福❤,校外选手,2987,2022-11-24 01:56:18
24,outerform #被绝杀了,北京大学,2890,2022-11-25 22:53:35
25,mariodon,校外选手,2878,2022-11-26 10:53:57
26,xyz,北京大学,2827,2022-11-24 00:43:18
27,wwj #作业写不完啦,北京大学（新生）,2696,2022-11-24 14:29:30
28,星咲あかり #不觉得这很困吗,校外选手,2659,2022-11-26 05:12:59
29,風的影子,校外选手,2614,2022-11-25 02:46:31
30,南七技校,校外选手,2591,2022-11-24 19:08:18
