名次,昵称,组别,总分,最后提交时间
1,wwx,,4668,2022-11-23 21:25:05
2,pkuGenuine,,4328,2022-11-25 23:36:12
3,31415,,3885,2022-11-24 08:32:45
4,gzz,,3821,2022-11-25 23:49:42
5,Ginwiahzy,,3582,2022-11-25 13:30:09
6,zhn #尽力局,,3413,2022-11-26 00:50:58
7,Cinnabar #二泉映月.wav,,3409,2022-11-26 06:45:37
8,Jahoo #记住你了,,3298,2022-11-24 23:34:59
9,王村bugless #躺,,3273,2022-11-26 07:24:36
10,lucifer1004,,3239,2022-11-25 21:59:34
11,nxp #这是一个tag,,3199,2022-11-25 21:29:03
12,wwzzj #怎么在名字后面打tag？,,3181,2022-11-25 22:11:07
13,WaterKing #好耶！,,3049,2022-11-25 11:05:26
14,DF4D0155 #关西暴走机关车单推中,,3049,2022-11-26 11:50:27
15,Leo_h #_#,,3021,2022-11-26 11:46:39
16,outerform #被绝杀了,,2890,2022-11-25 22:53:35
17,xyz,,2827,2022-11-24 00:43:18
18,wwj #作业写不完啦,（新生）,2696,2022-11-24 14:29:30
19,Ribom #明年再见了佳人们,,2547,2022-11-26 03:57:02
20,xtlsoft,（新生）,2524,2022-11-20 17:32:09
21,NumbersLie #电脑爆炸了,,2411,2022-11-25 12:11:10
22,nynauy,,2368,2022-11-25 15:01:58
23,kinami #组会，我的组会,,2297,2022-11-26 01:12:22
24,雫るる是爱吃一德格拉米 #一把一米诺！,,2229,2022-11-26 11:08:41
25,kfc2333 #是加井号就可以了吗？,（新生）,2200,2022-11-24 08:28:04
26,Kumbaya,,2199,2022-11-25 14:44:43
27,hylz #广告位招租#,（女生）,2164,2022-11-26 00:55:42
28,Arimase,,2159,2022-11-25 04:14:55
29,dywen,,2116,2022-11-26 10:54:40
30,Polygon #别卷辣别卷辣,,2106,2022-11-26 11:12:58
31,Scheiren,,2080,2022-11-26 02:54:07
32,koala,,1923,2022-11-26 11:56:09
33,DeleteMemory,,1755,2022-11-24 14:10:52
34,letsmile #期中考试要寄了,（女生）,1668,2022-11-24 23:25:16
35,intlsy #高等代数我淦你*,,1602,2022-11-24 12:24:27
36,pthsm,,1596,2022-11-24 21:18:20
37,Marvin,,1579,2022-11-26 03:27:28
38,杆,,1534,2022-11-24 16:06:56
39,🛈,,1465,2022-11-24 13:31:43
40,最后的ede #失败的man,,1406,2022-11-23 21:10:14
41,test #开摆,,1401,2022-11-25 08:58:43
42, ,,1352,2022-11-23 21:03:24
43,12f23eddde #关注%s谢谢喵,,1314,2022-11-26 04:52:11
44,DylanWR,,1290,2022-11-25 23:56:23
45,house_fz #有没有人教我代数几何,,1271,2022-11-25 23:13:29
46,rikukiix #今年的大家都好厉害,,1189,2022-11-21 16:00:27
47,fyx的迷妹天团,,1176,2022-11-26 04:09:03
48,gospursgo #文班亚马！,,1155,2022-11-25 17:41:00
49,Poppi #哇原来可以改id,（新生）,1067,2022-11-24 15:50:29
50,宮園かをり #关注周杰伦谢谢喵,,1002,2022-11-25 00:27:04
51,peccc,,966,2022-11-23 18:16:02
52,Junior#关注夜王莉莉丝喵,,935,2022-11-26 11:27:37
53,Pervoskite11 # Saved,,868,2022-11-25 11:06:22
54,Skywalker,,834,2022-11-25 17:26:52
55,WJS #已经忘记了论文ddl,（新生）,817,2022-11-25 11:44:53
56,liuyh,,817,2022-11-25 20:37:47
57,Ginkgo,,786,2022-11-20 19:40:29
58,greenhand_F,,706,2022-11-21 17:45:38
59,失败总是贯穿人生始终,,664,2022-11-23 22:04:18
60,HNYuuu,,632,2022-11-24 16:32:15
61,Ez3qwq,,615,2022-11-24 14:35:21
62,21,（新生）,600,2022-11-25 22:16:09
63,ietf,,595,2022-11-20 17:40:53
64,octopus,（女生）,581,2022-11-25 01:14:28
65,赫尔辛根莫斯肯的黑曜石,,547,2022-11-19 16:37:59
66,好想做--ATP--小姐的狗啊,,538,2022-11-20 13:22:48
67,菜菜,,535,2022-11-25 18:33:40
68,xipq,,502,2022-11-20 21:34:47
69,bessel,,496,2022-11-20 20:46:24
70,dybq,,467,2022-11-22 16:40:00
71,pkucs.top,,466,2022-11-21 00:34:16
72,Etaoin,,419,2022-11-19 17:09:12
73,EddieW,,419,2022-11-19 19:18:10
74,thrfirs,,419,2022-11-21 16:06:01
75,小兔子很纠结,,391,2022-11-25 03:58:20
76,Mancer,,386,2022-11-25 20:08:46
77,paradisus_ #U+FFFD,（新生）,346,2022-11-24 22:07:38
78,小白菜,,339,2022-11-20 13:52:38
79,我好菜啊,,323,2022-11-25 22:55:37
80,Fourilace,,308,2022-11-22 18:13:01
81,universing,（女生）,297,2022-11-25 20:07:02
82,yorustar,（新生）,296,2022-11-19 22:28:03
83,sssskk,,296,2022-11-23 17:27:00
84,ghost,（女生）,290,2022-11-24 19:33:29
85,ics001,,284,2022-11-20 12:32:36
86,mt19937,（新生）,283,2022-11-20 23:11:30
87,ZelKnow,,266,2022-11-19 14:37:15
88,嘉然今天吃4,,249,2022-11-19 16:17:38
89,runtime_error,（新生）,244,2022-11-24 18:12:33
90,theRealAzisa,（新生）,244,2022-11-24 18:19:46
91,undifined,,242,2022-11-20 17:27:26
92,duolapis,（新生）,236,2022-11-25 09:08:18
93,windsky,,231,2022-11-25 01:45:01
94,yzh182,,215,2022-11-19 14:46:42
95,lyrig,,215,2022-11-20 18:22:29
96,dbdb,（女生）,215,2022-11-20 19:05:34
97,emoairx,,200,2022-11-19 13:22:39
98,雏鹰飞天,,197,2022-11-23 04:02:08
99,jaspirit,,172,2022-11-26 10:16:49
100,namenick,,152,2022-11-24 16:43:40
